tablename,indexname
audit_logs,audit_logs_pkey
audit_logs,idx_audit_logs_resource
audit_logs,idx_audit_logs_created_at
audit_logs,idx_audit_logs_admin_id
audit_logs,idx_audit_logs_action
clip_views,idx_clip_views_clip_id
clip_views,idx_clip_views_voter
clip_views,clip_views_pkey
comment_likes,comment_likes_comment_id_user_key_key
comment_likes,idx_comment_likes_comment_id
comment_likes,idx_comment_likes_user_key
comment_likes,comment_likes_pkey
comments,comments_pkey
comments,idx_comments_clip_id
comments,idx_comments_likes
comments,idx_comments_parent_id
comments,idx_comments_created_at
comments,idx_comments_user_key
comments,idx_comments_clip_deleted
contact_submissions,idx_contact_submissions_status
contact_submissions,idx_contact_submissions_user_id
contact_submissions,idx_contact_submissions_created_at
contact_submissions,contact_submissions_pkey
content_reports,idx_content_reports_clip
content_reports,idx_unique_user_report
content_reports,content_reports_pkey
content_reports,idx_content_reports_status
content_reports,idx_content_reports_created_at
content_reports,idx_content_reports_reporter
content_reports,idx_content_reports_user
content_reports,idx_unique_clip_report
feature_flags,feature_flags_key_key
feature_flags,feature_flags_pkey
feature_flags,idx_feature_flags_category
feature_flags,idx_feature_flags_key
followers,idx_followers_follower
followers,followers_pkey
followers,followers_follower_id_following_id_key
followers,idx_followers_following
genre_votes,idx_genre_votes_voter_key
genre_votes,genre_votes_pkey
genre_votes,genre_votes_unique_vote_per_device
mv_user_vote_counts,idx_mv_user_vote_counts_voter
referrals,idx_referrals_code
referrals,idx_referrals_referrer
referrals,idx_referrals_status
referrals,referrals_pkey
seasons,seasons_pkey
seasons,idx_seasons_status
story_slots,idx_slots_season_position
story_slots,idx_story_slots_season_slot
story_slots,story_slots_pkey
story_slots,idx_slots_status
story_slots,idx_slots_season_status
story_slots,idx_story_slots_unique
tournament_clips,idx_clips_weighted_score
tournament_clips,tournament_clips_pkey
tournament_clips,idx_tournament_clips_clip_id
tournament_clips,idx_tournament_clips_season_id
tournament_clips,idx_clips_season_slot_status
tournament_clips,idx_clips_vote_count
tournament_clips,idx_clips_user_id
tournament_clips,idx_tournament_clips_user_id
tournament_clips,idx_clips_season_slot_created
tournament_clips,idx_clips_slot_season_status
tournament_clips,idx_tournament_clips_status
tournament_clips,idx_tournament_clips_vote_count
tournament_clips,idx_tournament_clips_slot_position
tournament_clips,idx_clips_status
user_blocks,unique_block
user_blocks,user_blocks_pkey
user_blocks,idx_user_blocks_blocked
user_blocks,idx_user_blocks_blocker
users,idx_users_level
users,idx_users_device_key
users,idx_users_username
users,idx_users_email
users,idx_users_google_id
users,users_username_key
users,users_email_key
users,users_google_id_key
users,users_pkey
users,users_referral_code_key
users,idx_users_xp
votes,votes_clip_voter_unique
votes,idx_votes_clip_id
votes,idx_votes_created_at
votes,idx_votes_voter_weight
votes,idx_votes_user_id_created
votes,idx_votes_user_id
votes,idx_votes_flagged
votes,idx_votes_voter_key
votes,idx_votes_voter_clip
votes,votes_pkey
votes,idx_votes_voter_slot_type
votes,idx_votes_voter_slot
votes,votes_unique_voter_clip
