id,season_id,slot_position,status
5ca2208e-c81f-4613-9df3-e870dca53bbf,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,1,locked
aa6d7b0e-6cff-463f-8a14-2e57fd9fa529,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,2,locked
2da03c9b-c088-4f75-aff8-76a051625c95,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,3,locked
7df4dbba-9233-4bf7-8a4e-762201d4335d,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,4,voting
44ee52e0-adc0-4471-b9c2-27f6ec3efdd0,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,5,upcoming
9f96148c-3c2a-4376-ad7a-5ca03d5b156d,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,6,upcoming
b6029ef0-f70e-4cd9-b47c-5a1613e28972,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,7,upcoming
9b735aae-3f9d-4d94-b040-7c0ab0855a19,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,8,upcoming
bf784f5c-bcc2-4ead-b2f2-45e4e08ee662,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,9,upcoming
ba2ee41e-3d02-4e94-8a74-44fd61fa74a2,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,10,upcoming
19559963-774c-48dd-95e6-483635c04693,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,11,upcoming
3f74f0d9-1086-4611-8162-5b00340caea1,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,12,upcoming
066322ab-3780-47d4-8a75-41680168711c,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,13,upcoming
d1dd1514-bbee-41cc-b8ae-d65e0563463c,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,14,upcoming
af1ec231-9cbe-4709-a389-31f4549fc8f7,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,15,upcoming
6ab99be5-518d-4635-9047-a710409d459d,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,16,upcoming
f08e3464-b0fd-4c60-9970-828296c36316,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,17,upcoming
e146a5bc-0c3a-4982-a52f-3c23f558f540,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,18,upcoming
e8342de7-bf02-4ab9-83c9-932309873d4c,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,19,upcoming
ce9d148f-0776-4a60-8657-b2b1bcb98c6a,3c2c1602-45a7-4367-8fa3-cae3938c1ad3,20,upcoming
